case_key,client,case_stage_rank,start,end,duration,ready_time,min_ready_time
37,Accessioning,1,2021-05-17 13:13:00,2021-05-17 13:13:08,8,2021-05-17 13:13:00,2021-05-17 13:13:00
37,Grossing,2,2021-05-17 13:13:08,2021-05-17 13:17:24,256,2021-05-17 13:13:08,2021-05-17 13:13:00
37,Embedding,3,2021-05-17 20:00:00,2021-05-18 05:00:00,32400,2021-05-17 13:17:24,2021-05-17 13:13:00
37,Sectioning,4,2021-05-18 08:00:00,2021-05-18 08:00:22,22,2021-05-18 05:00:00,2021-05-17 13:13:00
37,Sectioning,4,2021-05-18 08:00:00,2021-05-18 08:00:22,22,2021-05-18 05:00:00,2021-05-17 13:13:00
37,Signout,5,2021-05-18 08:00:22,2021-05-18 08:00:26,4,2021-05-18 08:00:22,2021-05-17 13:13:00
37,Signout,5,2021-05-18 08:00:22,2021-05-18 08:00:26,4,2021-05-18 08:00:22,2021-05-17 13:13:00
35,Accessioning,1,2021-05-17 12:14:00,2021-05-17 12:14:14,14,2021-05-17 12:14:00,2021-05-17 12:14:00
35,Grossing,2,2021-05-17 12:14:14,2021-05-17 12:15:52,98,2021-05-17 12:14:14,2021-05-17 12:14:00
35,Embedding,3,2021-05-17 20:00:00,2021-05-18 05:00:00,32400,2021-05-17 12:15:52,2021-05-17 12:14:00
35,Sectioning,4,2021-05-18 08:00:00,2021-05-18 08:17:26,1046,2021-05-18 05:00:00,2021-05-17 12:14:00
35,Sectioning,4,2021-05-18 08:00:00,2021-05-18 08:17:26,1046,2021-05-18 05:00:00,2021-05-17 12:14:00
35,Signout,5,2021-05-18 08:17:26,2021-05-18 08:17:35,9,2021-05-18 08:17:26,2021-05-17 12:14:00
35,Signout,5,2021-05-18 08:17:26,2021-05-18 08:17:35,9,2021-05-18 08:17:26,2021-05-17 12:14:00
28,Accessioning,1,2021-05-19 17:55:00,2021-05-19 17:55:08,8,2021-05-19 17:55:00,2021-05-19 17:55:00
28,Grossing,2,2021-05-19 17:55:08,2021-05-19 17:56:59,111,2021-05-19 17:55:08,2021-05-19 17:55:00
28,Embedding,3,2021-05-19 20:00:00,2021-05-20 05:00:00,32400,2021-05-19 17:56:59,2021-05-19 17:55:00
28,Sectioning,4,2021-05-20 08:00:00,2021-05-20 08:00:05,5,2021-05-20 05:00:00,2021-05-19 17:55:00
28,Sectioning,4,2021-05-20 08:00:00,2021-05-20 08:00:05,5,2021-05-20 05:00:00,2021-05-19 17:55:00
28,Signout,5,2021-05-20 08:00:05,2021-05-20 08:01:03,58,2021-05-20 08:00:05,2021-05-19 17:55:00
28,Signout,5,2021-05-20 08:00:05,2021-05-20 08:01:03,58,2021-05-20 08:00:05,2021-05-19 17:55:00
24,Accessioning,1,2021-05-17 14:30:00,2021-05-17 14:30:32,32,2021-05-17 14:30:00,2021-05-17 14:30:00
24,Grossing,2,2021-05-17 14:30:32,2021-05-17 15:45:03,4471,2021-05-17 14:30:32,2021-05-17 14:30:00
24,Embedding,3,2021-05-17 20:00:00,2021-05-18 05:00:00,32400,2021-05-17 15:45:03,2021-05-17 14:30:00
24,Sectioning,4,2021-05-18 08:00:00,2021-05-18 08:04:23,263,2021-05-18 05:00:00,2021-05-17 14:30:00
24,Sectioning,4,2021-05-18 08:00:22,2021-05-18 08:04:45,263,2021-05-18 05:00:00,2021-05-17 14:30:00
