day,period,stage,worker,start,duration
0,0,0,0,42060,25
0,0,0,0,42480,14
0,0,0,0,42600,22
0,0,0,0,42720,9
0,0,0,0,43014,25
0,0,0,0,43039,1
0,0,0,0,43040,1
0,0,1,0,42085,392
0,0,1,0,42729,158
0,0,1,1,42494,112
0,0,1,2,42622,392
0,1,0,0,43320,11
0,1,0,0,43620,25
0,1,0,0,43645,11
0,1,0,0,43680,10
0,1,0,0,43740,13
0,1,0,0,43920,17
0,1,0,0,43980,13
0,1,0,0,44040,14
0,1,0,0,44054,6
0,1,0,0,44660,15
0,1,0,0,44675,11
0,1,0,0,44686,11
0,1,0,0,44697,12
0,1,0,0,44709,15
0,1,0,0,44724,1
0,1,0,0,44725,10
0,1,0,0,44735,9
0,1,0,0,44760,12
0,1,0,0,45372,25
0,1,0,0,45397,6
0,1,0,0,45403,25
0,1,0,0,45428,21
0,1,0,0,45449,1
0,1,0,0,45450,2
0,1,0,0,45452,19
0,1,0,0,45471,14
0,1,0,0,45540,8
0,1,0,0,46148,16
0,1,0,0,46164,9
0,1,0,0,46173,7
0,1,0,0,46180,1
0,1,0,0,46181,8
0,1,0,0,46189,13
0,1,0,0,46202,7
0,1,0,0,46209,7
0,1,0,0,46216,25
0,1,0,0,50400,8
0,1,0,0,50408,7
0,1,0,0,50415,7
0,1,0,0,50422,11
0,1,0,0,50433,15
0,1,0,0,50448,12
0,1,0,0,50460,15
0,1,0,0,50475,10
0,1,0,0,50485,15
0,1,0,0,51100,25
0,1,0,0,51125,20
0,1,0,0,51145,12
0,1,0,0,51157,25
0,1,0,0,51182,23
0,1,0,0,51205,20
0,1,0,0,51225,17
0,1,0,0,51242,9
0,1,0,0,51251,15
0,1,0,0,51866,25
0,1,0,0,51891,8
0,1,0,0,51899,9
0,1,0,0,51908,25
0,1,0,0,51933,12
0,1,0,0,51945,9
0,1,0,0,51954,10
0,1,0,0,51964,19
0,1,0,0,51983,25
0,1,0,0,52608,7
0,1,0,0,52615,13
0,1,0,0,52628,25
0,1,0,0,52653,10
0,1,0,0,52663,10
0,1,0,0,52673,17
0,1,0,0,52690,15
0,1,0,0,52705,25
0,1,0,0,52730,17
0,1,0,0,53347,25
0,1,0,0,53372,17
0,1,0,0,53389,25
0,1,0,0,53414,14
0,1,0,0,53428,1
0,1,0,0,53429,25
0,1,0,0,53454,7
0,1,0,0,53461,18
0,1,0,0,53479,1
0,1,0,0,54080,1
0,1,0,0,54081,25
0,1,0,0,54106,21
0,1,0,0,54127,25
0,1,0,0,54152,1
0,1,0,0,56200,25
0,1,0,0,56225,25
0,1,0,0,56250,13
0,1,0,0,56263,19
0,1,0,0,56882,10
0,1,0,0,56892,19
0,1,0,0,56911,11
0,1,0,0,56922,8
0,1,0,0,56930,22
0,1,0,0,57314,25
0,1,0,0,57339,25
0,1,0,0,57364,25
0,1,0,0,57389,17
0,1,1,0,43200,392
0,1,1,0,43690,57
0,1,1,0,43753,48
0,1,1,0,43937,392
0,1,1,0,44697,62
0,1,1,0,44759,142
0,1,1,0,44901,213
0,1,1,0,45114,115
0,1,1,0,45397,391
0,1,1,0,46388,270
0,1,1,0,50400,289
0,1,1,0,50689,392
0,1,1,0,51081,68
0,1,1,0,51149,349
0,1,1,0,51498,132
0,1,1,0,51630,392
0,1,1,0,52022,115
0,1,1,0,52137,128
0,1,1,0,52865,180
0,1,1,0,53045,256
0,1,1,0,53301,392
0,1,1,0,53693,35
0,1,1,0,53728,81
0,1,1,0,53809,305
0,1,1,0,54114,123
0,1,1,0,54237,392
0,1,1,0,54629,146
0,1,1,0,55375,327
0,1,1,0,55702,215
0,1,1,0,55917,196
0,1,1,0,56225,1
0,1,1,0,56250,392
0,1,1,0,56911,362
0,1,1,0,57273,105
0,1,1,1,43331,76
0,1,1,1,43656,153
0,1,1,1,43993,148
0,1,1,1,44141,169
0,1,1,1,44686,392
0,1,1,1,45078,392
0,1,1,1,45470,92
0,1,1,1,45562,312
0,1,1,1,45874,162
